Split,acc,prec,rec,f1,spec,roc_auc,pr_auc
Train (noTTA @0.5),97.854,97.424,98.307,97.864,97.401,99.674,99.593
Val   (noTTA @0.5),87.967,73.106,72.285,72.693,92.431,93.115,79.543
Test  (noTTA @0.5),88.548,76.113,70.412,73.152,93.71,92.897,82.036
Val   (noTTA @t=0.376),87.137,67.391,81.273,73.684,88.806,93.115,79.543
Test  (noTTA @t=0.376),88.05,70.033,80.524,74.913,90.192,92.897,82.036
Val   (TTA @0.5),88.88,76.285,72.285,74.231,93.603,93.6,80.333
Test  (TTA @0.5),89.212,78.423,70.787,74.409,94.456,93.452,82.713
Val   (TTA @t=0.323),87.137,66.471,84.644,74.465,87.846,93.6,80.333
Test  (TTA @t=0.323),86.639,65.774,82.772,73.3,87.74,93.452,82.713
